"Pediatrician","11/1/24","11/2/24","11/4/24","11/5/24","11/6/24","11/7/24","11/8/24","11/9/24","11/11/24","11/12/24","11/13/24","11/14/24","11/15/24","11/16/24","11/18/24","11/19/24","11/20/24","11/21/24","11/22/24","11/23/24","11/25/24","11/26/24","11/27/24","11/28/24","11/29/24","11/30/24","12/2/24","12/3/24","12/4/24","12/5/24","12/6/24","12/7/24","12/9/24","12/10/24","12/11/24","12/12/24","12/13/24","12/14/24","12/16/24","12/17/24","12/18/24","12/19/24","12/20/24","12/21/24","12/23/24","12/24/24","12/25/24","12/26/24","12/27/24","12/28/24","12/30/24","12/31/24","1/1/25","1/2/25","1/3/25","1/4/25","1/6/25","1/7/25","1/8/25","1/9/25","1/10/25","1/11/25","1/13/25","1/14/25","1/15/25","1/16/25","1/17/25","1/18/25","1/20/25","1/21/25","1/22/25","1/23/25","1/24/25","1/25/25","1/27/25","1/28/25","1/29/25","1/30/25","1/31/25","Sum"
"Perfilova Victoria Vladimirovna","1","1","1","5","3","3","2","1","1","1","1","3","1","1","3","2","1","1","1","1","2","1","4","2","2","1","3","1","2","4","5","3","1","1","1","1","2","1","2","2","1","1","4","1","4","1","2","3","1","1","5","1","2","3","4","5","2","6","3","2","3","3","3","1","1","2","4","3","2","2","3","1","1","1","1","2","4","1","2","167"
"Turkina Lyudmila Nikolaevna","2","2","2","4","1","4","2","1","4","1","1","3","1","1","1","2","2","1","3","2","2","1","4","1","4","4","1","1","3","2","5","2","2","1","3","2","2","2","2","3","1","1","1","1","2","4","1","1","1","1","3","1","1","3","5","4","2","6","2","2","1","3","3","3","5","2","4","2","1","2","1","2","2","2","1","4","3","1","2","174"
"Kurbanalieva Malika Anvarovna","7","3","6","6","6","5","3","9","7","8","4","4","6","0","10","4","10","3","5","7","3","9","4","3","6","8","6","6","5","11","7","10","6","0","5","4","7","8","8","8","2","2","12","2","6","7","7","5","2","3","8","0","9","3","8","8","6","7","8","4","9","5","5","5","10","4","6","4","7","2","11","4","4","7","9","8","6","7","2","461"
"Total","10","6","9","15","10","12","7","11","12","10","6","10","8","2","14","8","13","5","9","10","7","11","12","6","12","13","10","8","10","17","17","15","9","2","9","7","11","11","12","13","4","4","17","4","12","12","10","9","4","5","16","2","12","9","17","17","10","19","13","8","13","11","11","9","16","8","14","9","10","6","15","7","7","10","11","14","13","9","6"," 802 "
